"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2357","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue May 19 10:58:43 UTC 2026","passed","Tue May 19 10:58:46 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2229","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 19 10:59:00 UTC 2026","passed","Tue May 19 10:59:02 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2265","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 19 10:58:58 UTC 2026","passed","Tue May 19 10:59:00 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2340","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 19 10:59:02 UTC 2026","passed","Tue May 19 10:59:05 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","2773","Успешная отправка простой формы регистрации","All Tests","Tue May 19 10:58:38 UTC 2026","passed","Tue May 19 10:58:41 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","1879","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue May 19 10:58:36 UTC 2026","passed","Tue May 19 10:58:38 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Проверка отправки формы с пройденной валидацией","2263","Успешная отправка формы регистрации с валидацией","All Tests","Tue May 19 10:58:41 UTC 2026","passed","Tue May 19 10:58:43 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2296","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue May 19 10:58:46 UTC 2026","passed","Tue May 19 10:58:48 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","13874","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue May 19 10:58:22 UTC 2026","passed","Tue May 19 10:58:36 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2228","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue May 19 10:58:48 UTC 2026","passed","Tue May 19 10:58:51 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2225","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 19 10:58:55 UTC 2026","passed","Tue May 19 10:58:58 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2312","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 19 10:59:07 UTC 2026","passed","Tue May 19 10:59:09 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2298","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue May 19 10:58:53 UTC 2026","passed","Tue May 19 10:58:55 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2296","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 19 10:59:05 UTC 2026","passed","Tue May 19 10:59:07 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2145","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue May 19 10:58:51 UTC 2026","passed","Tue May 19 10:58:53 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
