"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1868","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-23","passed","2026-06-23","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1740","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-06-23","passed","2026-06-23","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Проверка отправки формы с пройденной валидацией","1884","Успешная отправка формы регистрации с валидацией","All Tests","2026-06-23","passed","2026-06-23","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1851","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-23","passed","2026-06-23","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Добавление и удаление поля в динамической форме регистрации","12495","Добавление и удаление полей в динамической форме регистрации","All Tests","2026-06-23","passed","2026-06-23","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1875","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-06-23","passed","2026-06-23","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1764","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-23","passed","2026-06-23","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1777","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-06-23","passed","2026-06-23","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","2237","Успешная отправка простой формы регистрации","All Tests","2026-06-23","passed","2026-06-23","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1819","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-06-23","passed","2026-06-23","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","1504","Добавление и удаление полей в динамической форме регистрации","All Tests","2026-06-23","passed","2026-06-23","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1786","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-23","passed","2026-06-23","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1908","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-06-23","passed","2026-06-23","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1848","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-23","passed","2026-06-23","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1837","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-23","passed","2026-06-23","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
