"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2655","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Apr 28 10:10:06 UTC 2026","passed","Tue Apr 28 10:10:09 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2706","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Apr 28 10:10:04 UTC 2026","passed","Tue Apr 28 10:10:06 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2894","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Apr 28 10:09:49 UTC 2026","passed","Tue Apr 28 10:09:52 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","9941","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Apr 28 10:09:24 UTC 2026","passed","Tue Apr 28 10:09:34 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2695","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Apr 28 10:10:09 UTC 2026","passed","Tue Apr 28 10:10:12 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","3374","Успешная отправка простой формы регистрации","All Tests","Tue Apr 28 10:09:36 UTC 2026","passed","Tue Apr 28 10:09:40 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Проверка отправки формы с пройденной валидацией","2981","Успешная отправка формы регистрации с валидацией","All Tests","Tue Apr 28 10:09:40 UTC 2026","passed","Tue Apr 28 10:09:43 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2811","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Apr 28 10:09:58 UTC 2026","passed","Tue Apr 28 10:10:01 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2655","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Apr 28 10:09:55 UTC 2026","passed","Tue Apr 28 10:09:58 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2913","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Apr 28 10:10:01 UTC 2026","passed","Tue Apr 28 10:10:04 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Добавление и удаление поля в динамической форме регистрации","2599","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Apr 28 10:09:34 UTC 2026","passed","Tue Apr 28 10:09:36 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2669","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Apr 28 10:10:12 UTC 2026","passed","Tue Apr 28 10:10:15 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2603","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Apr 28 10:09:52 UTC 2026","passed","Tue Apr 28 10:09:55 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2943","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Apr 28 10:09:43 UTC 2026","passed","Tue Apr 28 10:09:46 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2757","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Apr 28 10:09:46 UTC 2026","passed","Tue Apr 28 10:09:49 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
