"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1864","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-06-16","passed","2026-06-16","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","1609","Добавление и удаление полей в динамической форме регистрации","All Tests","2026-06-16","passed","2026-06-16","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1844","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-16","passed","2026-06-16","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1946","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-06-16","passed","2026-06-16","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2501","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-16","passed","2026-06-16","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1970","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-16","passed","2026-06-16","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","2453","Успешная отправка простой формы регистрации","All Tests","2026-06-16","passed","2026-06-16","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1913","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-16","passed","2026-06-16","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1770","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-06-16","passed","2026-06-16","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1885","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-16","passed","2026-06-16","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Добавление и удаление поля в динамической форме регистрации","14917","Добавление и удаление полей в динамической форме регистрации","All Tests","2026-06-16","passed","2026-06-16","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Проверка отправки формы с пройденной валидацией","1980","Успешная отправка формы регистрации с валидацией","All Tests","2026-06-16","passed","2026-06-16","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1922","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-06-16","passed","2026-06-16","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1914","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-16","passed","2026-06-16","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1935","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-06-16","passed","2026-06-16","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
