"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Добавление и удаление поля в динамической форме регистрации","1917","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue May 12 10:27:32 UTC 2026","passed","Tue May 12 10:27:34 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Добавление и удаление поля в динамической форме регистрации","11005","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue May 12 10:27:21 UTC 2026","passed","Tue May 12 10:27:32 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2306","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 12 10:28:03 UTC 2026","passed","Tue May 12 10:28:05 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2236","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue May 12 10:27:42 UTC 2026","passed","Tue May 12 10:27:44 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2191","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 12 10:27:54 UTC 2026","passed","Tue May 12 10:27:56 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Проверка отправки формы с пройденной валидацией","2340","Успешная отправка формы регистрации с валидацией","All Tests","Tue May 12 10:27:37 UTC 2026","passed","Tue May 12 10:27:39 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2295","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue May 12 10:27:40 UTC 2026","passed","Tue May 12 10:27:42 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2211","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 12 10:28:01 UTC 2026","passed","Tue May 12 10:28:03 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2260","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 12 10:27:58 UTC 2026","passed","Tue May 12 10:28:01 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2199","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 12 10:27:56 UTC 2026","passed","Tue May 12 10:27:58 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2309","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue May 12 10:27:45 UTC 2026","passed","Tue May 12 10:27:47 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2209","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 12 10:27:52 UTC 2026","passed","Tue May 12 10:27:54 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2232","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue May 12 10:27:49 UTC 2026","passed","Tue May 12 10:27:51 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","2753","Успешная отправка простой формы регистрации","All Tests","Tue May 12 10:27:34 UTC 2026","passed","Tue May 12 10:27:37 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2134","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue May 12 10:27:47 UTC 2026","passed","Tue May 12 10:27:49 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
