"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1989","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-07-14","passed","2026-07-14","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2129","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-07-14","passed","2026-07-14","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","2579","Успешная отправка простой формы регистрации","All Tests","2026-07-14","passed","2026-07-14","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","12613","Добавление и удаление полей в динамической форме регистрации","All Tests","2026-07-14","passed","2026-07-14","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Добавление и удаление поля в динамической форме регистрации","1637","Добавление и удаление полей в динамической форме регистрации","All Tests","2026-07-14","passed","2026-07-14","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2039","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-07-14","passed","2026-07-14","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2140","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-07-14","passed","2026-07-14","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Проверка отправки формы с пройденной валидацией","2112","Успешная отправка формы регистрации с валидацией","All Tests","2026-07-14","passed","2026-07-14","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2054","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-07-14","passed","2026-07-14","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2055","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-07-14","passed","2026-07-14","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2086","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-07-14","passed","2026-07-14","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1971","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-07-14","passed","2026-07-14","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2061","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-07-14","passed","2026-07-14","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1973","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-07-14","passed","2026-07-14","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1905","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-07-14","passed","2026-07-14","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
