"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1787","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Jan 20 16:36:15 UTC 2026","passed","Tue Jan 20 16:36:17 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1893","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Jan 20 16:36:13 UTC 2026","passed","Tue Jan 20 16:36:15 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1725","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 20 16:36:22 UTC 2026","passed","Tue Jan 20 16:36:24 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Проверка отправки формы с пройденной валидацией","1982","Успешная отправка формы регистрации с валидацией","All Tests","Tue Jan 20 16:36:08 UTC 2026","passed","Tue Jan 20 16:36:10 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1812","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Jan 20 16:36:18 UTC 2026","passed","Tue Jan 20 16:36:20 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1830","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 20 16:36:20 UTC 2026","passed","Tue Jan 20 16:36:22 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1868","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 20 16:36:26 UTC 2026","passed","Tue Jan 20 16:36:28 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1828","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 20 16:36:24 UTC 2026","passed","Tue Jan 20 16:36:26 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1711","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Jan 20 16:36:17 UTC 2026","passed","Tue Jan 20 16:36:18 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1801","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 20 16:36:28 UTC 2026","passed","Tue Jan 20 16:36:30 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1937","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Jan 20 16:36:11 UTC 2026","passed","Tue Jan 20 16:36:13 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","2431","Успешная отправка простой формы регистрации","All Tests","Tue Jan 20 16:36:06 UTC 2026","passed","Tue Jan 20 16:36:08 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1729","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 20 16:36:30 UTC 2026","passed","Tue Jan 20 16:36:32 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Добавление и удаление поля в динамической форме регистрации","10100","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Jan 20 16:35:54 UTC 2026","passed","Tue Jan 20 16:36:04 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addEmailFieldInDynamicForm"
"Добавление и удаление поля в динамической форме регистрации","1516","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Jan 20 16:36:04 UTC 2026","passed","Tue Jan 20 16:36:06 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addEmailFieldInDynamicForm"
