"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2065","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Feb 03 08:32:16 UTC 2026","passed","Tue Feb 03 08:32:19 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","1647","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Feb 03 08:32:02 UTC 2026","passed","Tue Feb 03 08:32:04 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2010","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Feb 03 08:32:19 UTC 2026","passed","Tue Feb 03 08:32:21 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2229","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Feb 03 08:32:10 UTC 2026","passed","Tue Feb 03 08:32:12 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2236","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Feb 03 08:32:14 UTC 2026","passed","Tue Feb 03 08:32:16 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2114","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 03 08:32:21 UTC 2026","passed","Tue Feb 03 08:32:23 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","2278","Успешная отправка простой формы регистрации","All Tests","Tue Feb 03 08:32:04 UTC 2026","passed","Tue Feb 03 08:32:06 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Проверка отправки формы с пройденной валидацией","2505","Успешная отправка формы регистрации с валидацией","All Tests","Tue Feb 03 08:32:06 UTC 2026","passed","Tue Feb 03 08:32:09 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2018","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 03 08:32:29 UTC 2026","passed","Tue Feb 03 08:32:31 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2153","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 03 08:32:31 UTC 2026","passed","Tue Feb 03 08:32:33 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1721","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 03 08:32:23 UTC 2026","passed","Tue Feb 03 08:32:25 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2104","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 03 08:32:25 UTC 2026","passed","Tue Feb 03 08:32:27 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2221","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Feb 03 08:32:12 UTC 2026","passed","Tue Feb 03 08:32:14 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2012","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 03 08:32:27 UTC 2026","passed","Tue Feb 03 08:32:29 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Добавление и удаление поля в динамической форме регистрации","15638","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Feb 03 08:31:47 UTC 2026","passed","Tue Feb 03 08:32:02 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
