"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12325","Проверка успешной отправки формы","All Tests","Mon Jan 19 11:25:10 UTC 2026","passed","Mon Jan 19 11:25:22 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","registerWithFullFilledForm"
"","1779","Проверка валидации полей и попытка отправить форму","All Tests","Mon Jan 19 11:25:37 UTC 2026","passed","Mon Jan 19 11:25:39 UTC 2026","tests.ValidationFormTest","Form With Validation","tests.ValidationFormTest","trySendFormWithNotValidatedFilledFields"
"","1755","Проверка валидации полей и попытка отправить форму","All Tests","Mon Jan 19 11:25:41 UTC 2026","passed","Mon Jan 19 11:25:43 UTC 2026","tests.ValidationFormTest","Form With Validation","tests.ValidationFormTest","trySendFormWithNotValidatedFilledFields"
"","1768","Проверка валидации полей и попытка отправить форму","All Tests","Mon Jan 19 11:25:39 UTC 2026","passed","Mon Jan 19 11:25:41 UTC 2026","tests.ValidationFormTest","Form With Validation","tests.ValidationFormTest","trySendFormWithNotValidatedFilledFields"
"","1790","Проверка валидации полей и попытка отправить форму","All Tests","Mon Jan 19 11:25:35 UTC 2026","passed","Mon Jan 19 11:25:37 UTC 2026","tests.ValidationFormTest","Form With Validation","tests.ValidationFormTest","trySendFormWithNotValidatedFilledFields"
"","1847","Проверка успешной отправки формы","All Tests","Mon Jan 19 11:25:31 UTC 2026","passed","Mon Jan 19 11:25:33 UTC 2026","tests.ValidationFormTest","Form With Validation","tests.ValidationFormTest","sendFormWithValidatedFilledFields"
"","1802","Попытка отправки формы без обязательного атрибута","All Tests","Mon Jan 19 11:25:24 UTC 2026","passed","Mon Jan 19 11:25:26 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","tryToRegisterWithSomeEmptyValueInForm"
"","1622","Попытка отправки формы без обязательного атрибута","All Tests","Mon Jan 19 11:25:28 UTC 2026","passed","Mon Jan 19 11:25:30 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","tryToRegisterWithSomeEmptyValueInForm"
"","1712","Проверка валидации полей и попытка отправить форму","All Tests","Mon Jan 19 11:25:43 UTC 2026","passed","Mon Jan 19 11:25:44 UTC 2026","tests.ValidationFormTest","Form With Validation","tests.ValidationFormTest","trySendFormWithNotValidatedFilledFields"
"","1726","Проверка валидации полей и попытка отправить форму","All Tests","Mon Jan 19 11:25:34 UTC 2026","passed","Mon Jan 19 11:25:35 UTC 2026","tests.ValidationFormTest","Form With Validation","tests.ValidationFormTest","trySendFormWithNotValidatedFilledFields"
"","1733","Попытка отправки формы без обязательного атрибута","All Tests","Mon Jan 19 11:25:23 UTC 2026","passed","Mon Jan 19 11:25:24 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","tryToRegisterWithSomeEmptyValueInForm"
"","1674","Попытка отправки формы без обязательного атрибута","All Tests","Mon Jan 19 11:25:30 UTC 2026","passed","Mon Jan 19 11:25:31 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","tryToRegisterWithSomeEmptyValueInForm"
"","1703","Попытка отправки формы без обязательного атрибута","All Tests","Mon Jan 19 11:25:26 UTC 2026","passed","Mon Jan 19 11:25:28 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","tryToRegisterWithSomeEmptyValueInForm"
