"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Простая форма регистрации","6","0","","0"
"0","","0","Динамическая форма регистрации","2","0","","0"
"0","","0","Форма с валидацией","7","0","","0"
