"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2873","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 17 08:46:30 UTC 2026","passed","Tue Mar 17 08:46:33 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2887","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 17 08:46:33 UTC 2026","passed","Tue Mar 17 08:46:36 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","3347","Успешная отправка простой формы регистрации","All Tests","Tue Mar 17 08:46:05 UTC 2026","passed","Tue Mar 17 08:46:09 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2953","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 17 08:46:27 UTC 2026","passed","Tue Mar 17 08:46:30 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2910","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 17 08:46:39 UTC 2026","passed","Tue Mar 17 08:46:42 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2984","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Mar 17 08:46:15 UTC 2026","passed","Tue Mar 17 08:46:18 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2969","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Mar 17 08:46:12 UTC 2026","passed","Tue Mar 17 08:46:15 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Проверка отправки формы с пройденной валидацией","2928","Успешная отправка формы регистрации с валидацией","All Tests","Tue Mar 17 08:46:09 UTC 2026","passed","Tue Mar 17 08:46:12 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2963","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Mar 17 08:46:18 UTC 2026","passed","Tue Mar 17 08:46:21 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2904","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 17 08:46:36 UTC 2026","passed","Tue Mar 17 08:46:39 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2880","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Mar 17 08:46:24 UTC 2026","passed","Tue Mar 17 08:46:27 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2935","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 17 08:46:42 UTC 2026","passed","Tue Mar 17 08:46:45 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Добавление и удаление поля в динамической форме регистрации","2567","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Mar 17 08:46:03 UTC 2026","passed","Tue Mar 17 08:46:05 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2810","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Mar 17 08:46:21 UTC 2026","passed","Tue Mar 17 08:46:24 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","9696","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Mar 17 08:45:53 UTC 2026","passed","Tue Mar 17 08:46:02 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
