"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1920","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-07-28","passed","2026-07-28","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2015","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-07-28","passed","2026-07-28","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1975","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-07-28","passed","2026-07-28","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","2442","Успешная отправка простой формы регистрации","All Tests","2026-07-28","passed","2026-07-28","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1983","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-07-28","passed","2026-07-28","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1943","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-07-28","passed","2026-07-28","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Проверка отправки формы с пройденной валидацией","2161","Успешная отправка формы регистрации с валидацией","All Tests","2026-07-28","passed","2026-07-28","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Добавление и удаление поля в динамической форме регистрации","1686","Добавление и удаление полей в динамической форме регистрации","All Tests","2026-07-28","passed","2026-07-28","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1977","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-07-28","passed","2026-07-28","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1985","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-07-28","passed","2026-07-28","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","4493","Добавление и удаление полей в динамической форме регистрации","All Tests","2026-07-28","passed","2026-07-28","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1943","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-07-28","passed","2026-07-28","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2118","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-07-28","passed","2026-07-28","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2071","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-07-28","passed","2026-07-28","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1987","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-07-28","passed","2026-07-28","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
