"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1863","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Feb 24 08:41:01 UTC 2026","passed","Tue Feb 24 08:41:03 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","2299","Успешная отправка простой формы регистрации","All Tests","Tue Feb 24 08:40:54 UTC 2026","passed","Tue Feb 24 08:40:57 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1737","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Feb 24 08:41:05 UTC 2026","passed","Tue Feb 24 08:41:07 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1920","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 24 08:41:15 UTC 2026","passed","Tue Feb 24 08:41:17 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1957","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 24 08:41:17 UTC 2026","passed","Tue Feb 24 08:41:19 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2164","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 24 08:41:19 UTC 2026","passed","Tue Feb 24 08:41:21 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Проверка отправки формы с пройденной валидацией","1827","Успешная отправка формы регистрации с валидацией","All Tests","Tue Feb 24 08:40:57 UTC 2026","passed","Tue Feb 24 08:40:59 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1850","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 24 08:41:11 UTC 2026","passed","Tue Feb 24 08:41:13 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Добавление и удаление поля в динамической форме регистрации","1399","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Feb 24 08:40:53 UTC 2026","passed","Tue Feb 24 08:40:54 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1764","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Feb 24 08:41:07 UTC 2026","passed","Tue Feb 24 08:41:09 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","12783","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Feb 24 08:40:40 UTC 2026","passed","Tue Feb 24 08:40:53 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1893","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Feb 24 08:40:59 UTC 2026","passed","Tue Feb 24 08:41:01 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1942","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 24 08:41:13 UTC 2026","passed","Tue Feb 24 08:41:15 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1831","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Feb 24 08:41:03 UTC 2026","passed","Tue Feb 24 08:41:05 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1785","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 24 08:41:09 UTC 2026","passed","Tue Feb 24 08:41:11 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
