"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1990","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-09-22","passed","2026-09-22","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2208","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-09-22","passed","2026-09-22","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2049","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-09-22","passed","2026-09-22","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Проверка отправки формы с пройденной валидацией","2067","Успешная отправка формы регистрации с валидацией","All Tests","2026-09-22","passed","2026-09-22","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1879","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-09-22","passed","2026-09-22","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1863","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-09-22","passed","2026-09-22","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1907","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-09-22","passed","2026-09-22","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","1518","Добавление и удаление полей в динамической форме регистрации","All Tests","2026-09-22","passed","2026-09-22","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1961","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-09-22","passed","2026-09-22","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1977","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-09-22","passed","2026-09-22","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","2490","Успешная отправка простой формы регистрации","All Tests","2026-09-22","passed","2026-09-22","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1952","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-09-22","passed","2026-09-22","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1886","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-09-22","passed","2026-09-22","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Добавление и удаление поля в динамической форме регистрации","5813","Добавление и удаление полей в динамической форме регистрации","All Tests","2026-09-22","passed","2026-09-22","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1887","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-09-22","passed","2026-09-22","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
