"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","4101","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-09","passed","2026-06-09","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","4553","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-09","passed","2026-06-09","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Добавление и удаление поля в динамической форме регистрации","17206","Добавление и удаление полей в динамической форме регистрации","All Tests","2026-06-09","passed","2026-06-09","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Проверка отправки формы с пройденной валидацией","4829","Успешная отправка формы регистрации с валидацией","All Tests","2026-06-09","passed","2026-06-09","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки простой формы регистрации с пустым аттрибутом","4352","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-06-09","passed","2026-06-09","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","4764","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-06-09","passed","2026-06-09","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","4517","Добавление и удаление полей в динамической форме регистрации","All Tests","2026-06-09","passed","2026-06-09","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","4648","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-06-09","passed","2026-06-09","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","4685","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-09","passed","2026-06-09","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","4726","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-09","passed","2026-06-09","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","6054","Успешная отправка простой формы регистрации","All Tests","2026-06-09","passed","2026-06-09","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","4710","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-09","passed","2026-06-09","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","4772","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","2026-06-09","passed","2026-06-09","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","4821","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-06-09","passed","2026-06-09","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","4190","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","2026-06-09","passed","2026-06-09","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
