"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1977","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Feb 17 08:39:53 UTC 2026","passed","Tue Feb 17 08:39:55 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1884","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 17 08:40:12 UTC 2026","passed","Tue Feb 17 08:40:13 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1919","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 17 08:40:08 UTC 2026","passed","Tue Feb 17 08:40:09 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1898","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 17 08:40:02 UTC 2026","passed","Tue Feb 17 08:40:03 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1937","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Feb 17 08:39:55 UTC 2026","passed","Tue Feb 17 08:39:57 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1905","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 17 08:40:06 UTC 2026","passed","Tue Feb 17 08:40:07 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Добавление и удаление поля в динамической форме регистрации","1604","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Feb 17 08:39:44 UTC 2026","passed","Tue Feb 17 08:39:46 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Проверка отправки формы с пройденной валидацией","2057","Успешная отправка формы регистрации с валидацией","All Tests","Tue Feb 17 08:39:49 UTC 2026","passed","Tue Feb 17 08:39:51 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1980","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Feb 17 08:39:51 UTC 2026","passed","Tue Feb 17 08:39:53 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1925","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 17 08:40:04 UTC 2026","passed","Tue Feb 17 08:40:05 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","2533","Успешная отправка простой формы регистрации","All Tests","Tue Feb 17 08:39:46 UTC 2026","passed","Tue Feb 17 08:39:49 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1925","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Feb 17 08:39:59 UTC 2026","passed","Tue Feb 17 08:40:01 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1978","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Feb 17 08:40:10 UTC 2026","passed","Tue Feb 17 08:40:11 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Добавление и удаление поля в динамической форме регистрации","11303","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Feb 17 08:39:33 UTC 2026","passed","Tue Feb 17 08:39:44 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1817","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Feb 17 08:39:57 UTC 2026","passed","Tue Feb 17 08:39:59 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
