"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1742","Попытка отправки формы без обязательного атрибута","All Tests","Sun Jan 18 17:37:24 UTC 2026","passed","Sun Jan 18 17:37:26 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","tryToRegisterWithSomeEmptyValueInForm"
"","1875","Попытка отправки формы без обязательного атрибута","All Tests","Sun Jan 18 17:37:20 UTC 2026","passed","Sun Jan 18 17:37:22 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","tryToRegisterWithSomeEmptyValueInForm"
"","10558","Проверка успешной отправки формы","All Tests","Sun Jan 18 17:37:09 UTC 2026","passed","Sun Jan 18 17:37:20 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","registerWithFullFilledForm"
"","1872","Попытка отправки формы без обязательного атрибута","All Tests","Sun Jan 18 17:37:22 UTC 2026","passed","Sun Jan 18 17:37:24 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","tryToRegisterWithSomeEmptyValueInForm"
"","1780","Попытка отправки формы без обязательного атрибута","All Tests","Sun Jan 18 17:37:26 UTC 2026","passed","Sun Jan 18 17:37:27 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","tryToRegisterWithSomeEmptyValueInForm"
"","1888","Попытка отправки формы без обязательного атрибута","All Tests","Sun Jan 18 17:37:28 UTC 2026","passed","Sun Jan 18 17:37:29 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","tryToRegisterWithSomeEmptyValueInForm"
