"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2878","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 10 08:36:17 UTC 2026","passed","Tue Mar 10 08:36:20 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2917","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Mar 10 08:35:56 UTC 2026","passed","Tue Mar 10 08:35:59 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2722","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 10 08:36:15 UTC 2026","passed","Tue Mar 10 08:36:17 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2942","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 10 08:36:12 UTC 2026","passed","Tue Mar 10 08:36:15 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2922","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 10 08:36:26 UTC 2026","passed","Tue Mar 10 08:36:29 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Проверка отправки формы с пройденной валидацией","3065","Успешная отправка формы регистрации с валидацией","All Tests","Tue Mar 10 08:35:53 UTC 2026","passed","Tue Mar 10 08:35:56 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2944","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 10 08:36:23 UTC 2026","passed","Tue Mar 10 08:36:26 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2952","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Mar 10 08:36:08 UTC 2026","passed","Tue Mar 10 08:36:11 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","3203","Успешная отправка простой формы регистрации","All Tests","Tue Mar 10 08:35:49 UTC 2026","passed","Tue Mar 10 08:35:52 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","2550","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Mar 10 08:35:47 UTC 2026","passed","Tue Mar 10 08:35:49 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2863","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Mar 10 08:36:05 UTC 2026","passed","Tue Mar 10 08:36:08 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","3038","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Mar 10 08:35:59 UTC 2026","passed","Tue Mar 10 08:36:02 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","11637","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Mar 10 08:35:35 UTC 2026","passed","Tue Mar 10 08:35:46 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2917","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 10 08:36:20 UTC 2026","passed","Tue Mar 10 08:36:23 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2969","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Mar 10 08:36:02 UTC 2026","passed","Tue Mar 10 08:36:05 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
