"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Добавление и удаление поля в динамической форме регистрации","11260","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Jan 20 16:38:26 UTC 2026","passed","Tue Jan 20 16:38:38 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1760","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 20 16:39:00 UTC 2026","passed","Tue Jan 20 16:39:02 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Проверка отправки формы с пройденной валидацией","1835","Успешная отправка формы регистрации с валидацией","All Tests","Tue Jan 20 16:38:42 UTC 2026","passed","Tue Jan 20 16:38:43 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1694","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 20 16:38:59 UTC 2026","passed","Tue Jan 20 16:39:00 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1708","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 20 16:38:57 UTC 2026","passed","Tue Jan 20 16:38:59 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1756","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Jan 20 16:38:44 UTC 2026","passed","Tue Jan 20 16:38:46 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","2205","Успешная отправка простой формы регистрации","All Tests","Tue Jan 20 16:38:39 UTC 2026","passed","Tue Jan 20 16:38:42 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1769","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Jan 20 16:38:49 UTC 2026","passed","Tue Jan 20 16:38:51 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","1280","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Jan 20 16:38:38 UTC 2026","passed","Tue Jan 20 16:38:39 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1779","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Jan 20 16:38:48 UTC 2026","passed","Tue Jan 20 16:38:49 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1738","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 20 16:39:02 UTC 2026","passed","Tue Jan 20 16:39:04 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1714","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Jan 20 16:38:46 UTC 2026","passed","Tue Jan 20 16:38:47 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1685","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 20 16:38:53 UTC 2026","passed","Tue Jan 20 16:38:55 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","1767","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Jan 20 16:38:55 UTC 2026","passed","Tue Jan 20 16:38:57 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","1721","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Jan 20 16:38:51 UTC 2026","passed","Tue Jan 20 16:38:53 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
