"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1729","Проверка валидации полей и попытка отправить форму","All Tests","Mon Jan 19 12:29:24 UTC 2026","passed","Mon Jan 19 12:29:26 UTC 2026","tests.ValidationFormTest","Form With Validation","tests.ValidationFormTest","trySendFormWithNotValidatedFilledFields"
"","1898","Попытка отправки формы без обязательного атрибута","All Tests","Mon Jan 19 12:29:11 UTC 2026","passed","Mon Jan 19 12:29:13 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","tryToRegisterWithSomeEmptyValueInForm"
"","1823","Проверка валидации полей и попытка отправить форму","All Tests","Mon Jan 19 12:29:19 UTC 2026","passed","Mon Jan 19 12:29:21 UTC 2026","tests.ValidationFormTest","Form With Validation","tests.ValidationFormTest","trySendFormWithNotValidatedFilledFields"
"","1844","Попытка отправки формы без обязательного атрибута","All Tests","Mon Jan 19 12:29:09 UTC 2026","passed","Mon Jan 19 12:29:11 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","tryToRegisterWithSomeEmptyValueInForm"
"","2056","Попытка отправки формы без обязательного атрибута","All Tests","Mon Jan 19 12:29:05 UTC 2026","passed","Mon Jan 19 12:29:07 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","tryToRegisterWithSomeEmptyValueInForm"
"","1785","Проверка успешной отправки формы","All Tests","Mon Jan 19 12:29:13 UTC 2026","passed","Mon Jan 19 12:29:15 UTC 2026","tests.ValidationFormTest","Form With Validation","tests.ValidationFormTest","sendFormWithValidatedFilledFields"
"","12176","Проверка успешной отправки формы","All Tests","Mon Jan 19 12:28:50 UTC 2026","passed","Mon Jan 19 12:29:02 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","registerWithFullFilledForm"
"","1825","Проверка валидации полей и попытка отправить форму","All Tests","Mon Jan 19 12:29:21 UTC 2026","passed","Mon Jan 19 12:29:23 UTC 2026","tests.ValidationFormTest","Form With Validation","tests.ValidationFormTest","trySendFormWithNotValidatedFilledFields"
"","1780","Проверка валидации полей и попытка отправить форму","All Tests","Mon Jan 19 12:29:15 UTC 2026","passed","Mon Jan 19 12:29:17 UTC 2026","tests.ValidationFormTest","Form With Validation","tests.ValidationFormTest","trySendFormWithNotValidatedFilledFields"
"","1791","Проверка валидации полей и попытка отправить форму","All Tests","Mon Jan 19 12:29:23 UTC 2026","passed","Mon Jan 19 12:29:24 UTC 2026","tests.ValidationFormTest","Form With Validation","tests.ValidationFormTest","trySendFormWithNotValidatedFilledFields"
"","1882","Попытка отправки формы без обязательного атрибута","All Tests","Mon Jan 19 12:29:03 UTC 2026","passed","Mon Jan 19 12:29:05 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","tryToRegisterWithSomeEmptyValueInForm"
"","2001","Попытка отправки формы без обязательного атрибута","All Tests","Mon Jan 19 12:29:07 UTC 2026","passed","Mon Jan 19 12:29:09 UTC 2026","tests.SimpleRegistrationFormTest","Simple Registration Form","tests.SimpleRegistrationFormTest","tryToRegisterWithSomeEmptyValueInForm"
"","1849","Проверка валидации полей и попытка отправить форму","All Tests","Mon Jan 19 12:29:17 UTC 2026","passed","Mon Jan 19 12:29:19 UTC 2026","tests.ValidationFormTest","Form With Validation","tests.ValidationFormTest","trySendFormWithNotValidatedFilledFields"
