"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2845","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 24 08:46:09 UTC 2026","passed","Tue Mar 24 08:46:12 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2835","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 24 08:46:15 UTC 2026","passed","Tue Mar 24 08:46:18 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2855","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Mar 24 08:45:51 UTC 2026","passed","Tue Mar 24 08:45:54 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Проверка отправки формы с пройденной валидацией","2893","Успешная отправка формы регистрации с валидацией","All Tests","Tue Mar 24 08:45:42 UTC 2026","passed","Tue Mar 24 08:45:45 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2826","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Mar 24 08:45:54 UTC 2026","passed","Tue Mar 24 08:45:57 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","3534","Успешная отправка простой формы регистрации","All Tests","Tue Mar 24 08:45:38 UTC 2026","passed","Tue Mar 24 08:45:42 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2888","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 24 08:46:00 UTC 2026","passed","Tue Mar 24 08:46:03 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2864","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Mar 24 08:45:57 UTC 2026","passed","Tue Mar 24 08:46:00 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2849","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 24 08:46:06 UTC 2026","passed","Tue Mar 24 08:46:09 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2932","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Mar 24 08:45:48 UTC 2026","passed","Tue Mar 24 08:45:51 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2897","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue Mar 24 08:45:45 UTC 2026","passed","Tue Mar 24 08:45:48 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","2534","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Mar 24 08:45:35 UTC 2026","passed","Tue Mar 24 08:45:38 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2880","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 24 08:46:03 UTC 2026","passed","Tue Mar 24 08:46:06 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Добавление и удаление поля в динамической форме регистрации","16230","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue Mar 24 08:45:19 UTC 2026","passed","Tue Mar 24 08:45:35 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2856","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue Mar 24 08:46:12 UTC 2026","passed","Tue Mar 24 08:46:15 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
